seed,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compAvgRank
커피,커피,12300,218100,높음,16.1,399.0,0.14,0.2,10,
커피,커피숍,2370,142600,높음,2.4,109.6,0.11,0.09,10,
커피,전시회,21100,84300,높음,6.4,131.3,0.04,0.17,10,
커피,커피머신,13600,84100,높음,96.0,547.3,0.75,0.74,8,
커피,쌀20KG,13900,76500,높음,392.9,2825.5,3.08,4.11,8,
커피,서울전시회,16000,74700,높음,33.1,183.8,0.23,0.27,10,
커피,커스텀커피,3760,37500,높음,2.0,39.3,0.06,0.12,10,
커피,계란,5580,34100,높음,49.1,692.3,0.89,2.02,8,
커피,키친타올,4370,26800,높음,13.0,314.0,0.32,1.27,8,
커피,대구카페,2690,23300,높음,0.9,56.3,0.04,0.27,10,
커피,생수2L,3400,23100,높음,19.5,279.8,0.59,1.26,8,
커피,콜드브루,3560,22700,높음,21.4,154.3,0.61,0.71,8,
커피,커피믹스,6450,22200,높음,42.4,758.8,0.7,3.59,8,
커피,부산전시회,4500,22000,높음,3.8,41.8,0.1,0.21,10,
커피,커피원두,11700,20700,높음,371.0,426.5,3.32,2.31,8,
커피,원두커피,4440,18600,높음,64.8,234.8,1.5,1.4,8,
커피,얼그레이,2040,17300,높음,2.1,87.3,0.12,0.57,8,
커피,생수500,3160,17100,높음,24.8,422.0,0.8,2.56,8,
커피,앵커버터,3330,15300,높음,19.0,188.6,0.61,1.3,10,
커피,캡슐커피머신,3660,15300,높음,48.5,269.3,1.42,1.94,8,
커피,드립커피,7500,15200,높음,12.8,92.0,0.18,0.66,8,
커피,더치커피,2500,14600,높음,14.8,113.0,0.61,0.81,8,
커피,맥심화이트골드,3870,14100,높음,32.0,347.8,0.86,2.58,8,
커피,식용유,5290,13800,높음,10.9,220.3,0.22,1.7,8,
커피,커피맛집,840,13200,높음,1.0,40.0,0.15,0.34,8,
커피,요구르트,10100,13100,높음,342.6,250.3,3.42,2.02,8,
커피,창업,9580,12600,높음,52.7,153.2,0.59,1.28,10,
커피,음료수,3550,11600,높음,43.3,183.3,1.23,1.63,8,
커피,숙주,1310,10600,높음,0.0,1.3,0.0,0.02,3,
커피,부산전시,3350,9580,높음,0.7,13.5,0.03,0.16,10,
커피,아라비카커피,920,9410,높음,1.8,76.3,0.22,0.88,10,
커피,커피종류,970,9360,높음,0.0,2.7,0.0,0.04,3,
커피,헤이즐넛,1470,9230,높음,5.2,135.8,0.37,1.61,10,
커피,시나몬가루,780,8830,높음,5.4,184.8,0.79,2.43,8,
커피,전자동커피머신,2240,8250,높음,20.3,85.0,0.96,1.12,8,
커피,단백질커피,1060,8180,높음,15.6,398.2,1.42,5.07,10,
커피,부산주류박람회,2410,8180,중간,0.5,0.9,0.04,0.03,2,
커피,라떼,1520,8130,높음,1.3,24.8,0.09,0.34,8,
커피,유라커피머신,3140,7830,높음,16.8,119.4,0.45,1.67,10,
커피,대구전시회,1670,7630,높음,1.5,37.8,0.1,0.55,10,
커피,드립백커피,6740,7560,높음,12.0,51.8,0.18,0.79,8,
커피,제로음료,1800,6730,높음,5.8,31.0,0.34,0.5,8,
커피,맥심슈프림골드,1510,6710,높음,6.1,240.0,0.43,3.84,8,
커피,커피머신기,1620,6540,높음,11.7,72.2,0.76,1.18,10,
커피,자판기,2460,6330,높음,64.1,135.8,2.78,2.28,7,
커피,카페창업,1970,6280,높음,29.9,122.0,1.59,2.14,10,
커피,카누아메리카노,1120,6260,높음,11.4,155.0,1.04,2.6,8,
커피,COFFEE,1320,5910,높음,0.3,19.3,0.03,0.35,10,
커피,커피메이커,2360,5900,높음,5.0,44.0,0.31,0.8,8,
커피,카누다크로스트,1230,5830,높음,11.8,124.5,0.99,2.27,8,
커피,맥심모카골드400,2420,5820,높음,37.6,99.3,1.6,1.82,8,
커피,드립백,6880,5650,높음,11.3,44.5,0.17,0.82,8,
커피,자동커피머신,1190,5310,높음,12.3,60.8,1.08,1.27,8,
커피,콜드브루원액,840,4980,높음,5.3,61.0,0.64,1.34,8,
커피,맛소금,970,4770,높음,8.1,107.8,0.86,2.42,8,
커피,레몬청,1460,4620,높음,11.8,88.3,0.87,1.97,8,
커피,원두커피머신,1240,4370,높음,12.0,46.8,1.03,1.16,8,
커피,폴바셋원두,840,4190,높음,10.5,94.8,1.4,2.5,8,
커피,콩커피,430,4130,높음,1.0,17.0,0.25,0.47,10,
커피,슈프림골드,920,4110,높음,3.9,117.3,0.45,3.04,8,
커피,페이퍼타올,1320,4110,높음,6.5,53.8,0.52,1.35,8,
커피,원두1KG,1210,4040,높음,19.8,109.8,1.69,2.96,8,
커피,아이스커피,1120,3870,높음,77.3,38.0,3.76,0.96,8,
커피,이디야커피믹스,870,3810,높음,4.4,87.0,0.52,2.44,8,
커피,1리터커피,370,3800,높음,1.1,9.8,0.32,0.28,10,
커피,카페쇼,1800,3770,높음,1.2,4.5,0.08,0.13,10,
커피,맥심모카골드믹스,960,3760,높음,10.6,80.3,1.13,2.2,8,
커피,탄산음료,1000,3740,높음,6.3,37.8,0.66,1.08,8,
커피,커피머신렌탈,4650,3710,높음,83.9,162.8,1.51,4.22,10,
커피,대구전시,1230,3560,높음,1.9,19.3,0.18,0.62,10,
커피,자몽청,1050,3510,높음,7.9,74.8,0.77,2.25,8,
커피,데미소다,720,3410,높음,1.5,70.0,0.22,2.2,8,
커피,커피자판기,1050,3140,높음,13.4,66.3,1.33,2.37,8,
커피,저가커피,460,2980,높음,9.3,19.8,2.04,0.71,10,
커피,냉온수기,1480,2900,높음,10.6,43.0,0.75,1.59,8,
커피,맥심화이트골드400,1280,2720,높음,8.9,53.5,0.73,2.11,8,
커피,원두콩,310,2640,높음,5.3,41.3,1.87,1.78,8,
커피,핸드드립커피,480,2570,높음,0.9,24.0,0.21,1.03,8,
커피,에티오피아원두,320,2510,높음,2.5,30.8,0.84,1.28,8,
커피,로스팅,680,2500,높음,0.9,6.0,0.14,0.26,10,
커피,칸타타아메리카노,320,2450,높음,0.0,9.3,0.0,0.41,3,
커피,더치커피원액,300,2360,높음,3.6,28.5,1.17,1.16,8,
커피,액상커피,730,2300,높음,7.6,36.5,1.07,1.65,8,
커피,알커피,520,2260,높음,3.1,33.3,0.63,1.6,8,
커피,공연정보,2520,2160,높음,0.7,0.8,0.04,0.05,10,
커피,커피원두추천,780,2140,높음,7.9,28.9,1.11,1.51,10,
커피,냉동과일,680,2080,높음,13.5,40.8,2.06,2.02,8,
커피,칸타타헤이즐넛,230,2000,높음,3.9,41.5,1.66,2.16,8,
커피,로스터리,490,1920,높음,3.0,6.8,0.66,0.38,8,
커피,산미없는원두,220,1870,높음,1.3,19.8,0.61,1.11,8,
커피,케냐AA,400,1850,높음,4.3,38.0,1.11,2.22,8,
커피,디카페인콜드브루,340,1850,높음,1.0,16.0,0.33,0.95,8,
커피,베트남연유,360,1830,높음,5.1,47.5,1.56,2.74,8,
커피,커피박람회,780,1820,높음,1.1,4.5,0.15,0.28,10,
커피,식용유18L,340,1810,높음,3.1,38.5,0.99,2.29,8,
