seed,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compAvgRank
스타벅스,스타벅스,100200,1176200,높음,79.9,1117.9,0.09,0.11,10,
스타벅스,스타벅스메뉴,22200,232800,높음,13.5,759.5,0.07,0.37,10,
스타벅스,스타벅스텀블러,15300,116100,높음,408.1,3919.0,2.92,3.68,8,
스타벅스,스벅,1530,27600,높음,0.4,21.3,0.03,0.09,10,
스타벅스,스타벅스캡슐,3030,15300,높음,28.3,218.3,0.98,1.48,8,
스타벅스,스타벅스우산,1410,12500,높음,27.8,374.8,1.63,2.53,10,
스타벅스,스타벅스스탠리텀블러,1480,11100,높음,9.3,124.5,0.72,1.34,8,
스타벅스,스타벅스커피,1820,9800,높음,4.5,77.1,0.26,0.83,10,
스타벅스,스벅텀블러,710,8750,높음,3.9,265.2,0.57,3.29,10,
스타벅스,스타벅스머그컵,1340,8700,높음,7.8,164.8,0.62,2.1,8,
스타벅스,스타벅스바닐라라떼,680,8380,높음,0.4,22.0,0.06,0.28,8,
스타벅스,스타벅스컵,1100,7870,높음,4.9,144.5,0.47,2.04,8,
스타벅스,스타벅스MD,1860,7260,높음,3.1,30.8,0.17,0.44,10,
스타벅스,스타벅스키링,680,5780,높음,22.8,211.8,3.27,3.93,10,
스타벅스,스타벅스할인,530,5570,높음,2.9,39.8,0.57,0.81,10,
스타벅스,스타벅스카페라떼,630,5340,높음,1.3,56.5,0.22,1.11,10,
스타벅스,스타벅스스탠리,1010,4870,높음,4.4,112.3,0.53,2.87,8,
스타벅스,스타벅스디카페인,460,4650,높음,0.6,22.0,0.14,0.51,10,
스타벅스,스타벅스음료,700,4210,높음,1.0,19.5,0.15,0.48,10,
스타벅스,스타벅스리유저블컵,500,4080,높음,1.0,16.3,0.26,0.67,8,
스타벅스,스타벅스아이스아메리카노,650,4040,높음,3.6,28.4,0.58,0.77,10,
스타벅스,스타벅스캡슐커피,1020,3980,높음,7.3,61.0,0.74,1.65,8,
스타벅스,네슬레,1350,3900,높음,13.8,86.9,1.02,2.39,10,
스타벅스,스타벅스콜드컵,450,3720,높음,4.4,29.3,1.0,0.83,8,
스타벅스,스타벅스온라인스토어,1250,3560,중간,162.0,510.6,13.57,14.76,3,
스타벅스,스타벅스보온병,370,3240,높음,5.5,104.3,1.66,3.38,8,
스타벅스,네스프레소스타벅스캡슐,660,3130,높음,5.4,44.5,0.81,1.53,8,
스타벅스,스타벅스텀블러뚜껑,450,3110,높음,9.8,128.0,2.35,4.38,8,
스타벅스,스타벅스라떼,410,3090,높음,1.2,32.8,0.31,1.14,10,
스타벅스,스타벅스커피추천,230,2870,높음,0.5,13.5,0.25,0.52,9,
스타벅스,레모네이드,660,2800,높음,1.3,23.0,0.21,0.89,8,
스타벅스,스타벅스네스프레소캡슐,740,2740,높음,6.6,28.4,0.92,1.09,10,
스타벅스,스타벅스스토어,560,2540,낮음,160.8,755.1,30.28,31.8,2,
스타벅스,맥심아이스커피믹스,600,2530,높음,2.0,34.0,0.31,1.34,8,
스타벅스,스타벅스모바일상품권,250,2300,높음,5.9,42.6,2.41,1.86,10,
스타벅스,네슬레공식몰,520,2280,낮음,241.0,794.3,46.26,36.26,1,
스타벅스,네스프레소호환캡슐,760,2040,높음,4.1,22.4,0.58,1.17,10,
스타벅스,무가당코코아파우더,290,2010,높음,3.1,40.5,1.13,2.18,8,
스타벅스,스타벅스에스프레소,230,1930,높음,0.5,7.5,0.22,0.39,10,
스타벅스,매실차,470,1830,높음,1.3,18.3,0.27,1.06,8,
스타벅스,스타벅스하우스블렌드,290,1700,높음,1.3,10.5,0.41,0.63,8,
스타벅스,스타벅스커피메뉴,160,1690,중간,1.0,1.3,0.6,0.08,3,
스타벅스,스타벅스교환권,180,1680,높음,3.3,43.2,1.8,2.65,10,
스타벅스,스타벅스장우산,270,1680,높음,7.0,82.7,2.43,4.49,8,
스타벅스,스타벅스커피캡슐,410,1630,높음,6.5,21.3,1.52,1.36,8,
스타벅스,테이스터스초이스,310,1610,높음,2.1,18.5,0.73,1.27,8,
스타벅스,스타벅스머그,300,1570,높음,5.5,10.5,1.91,0.74,8,
스타벅스,스타벅스커피가격,190,1500,높음,0.8,13.8,0.44,0.95,10,
스타벅스,스타벅스콩코드텀블러,150,1500,높음,3.1,19.8,1.85,1.35,8,
스타벅스,스타벅스네스프레소,250,1430,높음,2.8,23.6,1.16,1.75,10,
스타벅스,스타벅스파이크플레이스,230,1380,높음,0.1,6.5,0.06,0.52,8,
스타벅스,스타벅스캡슐네스프레소,330,1380,높음,3.5,13.5,1.12,1.12,8,
스타벅스,코코아가루,210,1380,높음,1.3,27.3,0.67,2.12,8,
스타벅스,스벅쿠폰,130,1370,높음,2.9,23.8,2.19,1.69,10,
스타벅스,핫초코,480,1280,높음,1.8,12.5,0.41,1.06,8,
스타벅스,네스프레소호환캡슐커피,140,1270,높음,1.1,4.3,0.97,0.46,8,
스타벅스,스타벅스텀블러추천,230,1250,높음,3.3,30.0,1.4,2.45,8,
스타벅스,버츄오호환캡슐,250,1210,중간,3.8,35.3,1.64,3.14,7,
스타벅스,스타벅스베란다블렌드,170,1140,높음,0.3,8.0,0.15,0.82,8,
스타벅스,스타벅스카라멜마끼아또,100,1130,높음,0.0,2.3,0.0,0.22,10,
스타벅스,스타벅스커피머신,200,1100,높음,1.6,25.3,0.84,2.52,8,
스타벅스,네스프레소캡슐호환,230,1070,높음,1.4,10.8,0.58,1.08,8,
스타벅스,스타벅스카페베로나,200,980,높음,0.4,9.3,0.21,1.0,8,
스타벅스,스타벅스카페라떼가격,240,960,높음,0.5,2.5,0.21,0.28,10,
스타벅스,스벅커피,70,900,높음,1.1,15.3,1.47,1.82,10,
스타벅스,커피메이트,160,890,높음,0.4,3.5,0.27,0.43,8,
스타벅스,파이크플레이스,110,880,높음,0.1,5.8,0.12,0.7,8,
스타벅스,스타벅스다크로스트,150,860,높음,1.4,13.3,0.99,1.66,8,
스타벅스,스타벅스콜라보,240,860,높음,3.1,12.2,1.37,1.62,7,
스타벅스,스벅캡슐,80,860,높음,0.6,16.8,0.66,2.08,7,
스타벅스,스타벅스앳홈,200,810,높음,1.8,11.0,0.86,1.36,10,
스타벅스,아라비카100,160,800,높음,1.3,13.3,0.79,1.72,8,
스타벅스,스타벅스상품권구매,220,790,높음,5.4,28.8,2.43,3.87,10,
스타벅스,스타벅스캡슐추천,160,790,높음,0.6,4.3,0.41,0.59,10,
스타벅스,캡슐커피머신호환,130,790,높음,2.0,19.0,1.57,2.63,8,
스타벅스,스타벅스엘마텀블러,90,760,높음,0.9,16.0,0.86,2.12,8,
스타벅스,스타벅스워터보틀,60,720,높음,0.5,15.5,0.51,1.78,8,
스타벅스,스타벅스디카페인캡슐,130,710,높음,1.3,8.0,0.9,1.2,8,
스타벅스,스타벅스아이스카페라떼,90,680,높음,0.3,1.5,0.36,0.24,7,
스타벅스,스타벅스에스프레소로스트,130,680,높음,1.1,15.5,0.86,2.4,8,
스타벅스,스타벅스글라스,80,670,높음,0.0,1.0,0.0,0.16,3,
스타벅스,네스프레소버츄오호환캡슐,120,620,높음,1.0,11.8,0.83,2.04,8,
스타벅스,스타벅스미르텀블러,60,590,높음,0.0,3.0,0.0,0.55,3,
스타벅스,버츄오캡슐호환,110,540,중간,1.0,7.5,0.84,1.46,7,
스타벅스,스타벅스브랜드스토어,160,530,중간,19.4,52.5,12.6,10.93,4,
스타벅스,네스프레소버츄오캡슐호환,120,530,높음,0.5,5.3,0.41,1.04,8,
스타벅스,아이스믹스커피,130,520,높음,0.3,0.3,0.24,0.07,3,
스타벅스,네스프레소스타벅스,210,500,높음,1.9,6.5,0.92,1.32,10,
스타벅스,스벅컵,40,480,높음,0.0,1.0,0.0,0.24,3,
스타벅스,스타벅스하우스블렌드캡슐,90,480,높음,0.3,3.0,0.25,0.65,8,
스타벅스,스타벅스레시피,40,470,높음,0.0,0.8,0.0,0.19,3,
스타벅스,스타벅스카라멜라떼,70,470,높음,0.1,1.8,0.15,0.34,8,
스타벅스,위타드핫초코,50,470,높음,0.6,2.5,1.15,0.58,7,
스타벅스,스타벅스모바일카드,70,460,높음,0.2,5.3,0.29,1.11,10,
스타벅스,스타벅스차이티라떼,50,440,중간,0.3,1.3,0.61,0.31,3,
스타벅스,스타벅스텀블러리드,80,440,높음,4.4,39.8,5.9,9.23,7,
스타벅스,코스트코스타벅스,70,430,높음,0.0,0.0,0.0,0.0,3,
스타벅스,스타벅스캡슐머신,70,420,높음,1.8,14.0,2.19,3.19,8,
스타벅스,액상커피캡슐,70,420,중간,1.1,2.3,1.43,0.52,4,
스타벅스,대호아이스티,140,400,중간,2.0,7.8,1.57,1.84,7,
메가커피,메가커피,94000,1347700,높음,36.9,846.8,0.05,0.07,10,
메가커피,서브웨이,59900,391000,중간,13.5,261.7,0.03,0.08,5,
메가커피,공차,20500,224900,높음,0.7,38.3,0.01,0.02,9,
메가커피,컴포즈,15800,188400,중간,5.3,75.3,0.04,0.05,7,
메가커피,홍익돈까스,5510,130100,낮음,5.8,77.2,0.12,0.07,2,
메가커피,써브웨이,14500,114100,높음,4.0,80.5,0.03,0.08,10,
메가커피,옥된장,7030,55400,낮음,23.0,104.8,0.35,0.21,1,
메가커피,빠리바게뜨,1400,36900,높음,0.8,33.8,0.08,0.12,10,
메가커피,더리터,2960,36700,중간,4.1,22.1,0.15,0.07,6,
메가커피,우동,2590,30100,높음,5.3,81.8,0.22,0.3,8,
메가커피,다이소가맹점,4370,26700,중간,1.9,3.9,0.05,0.02,1,
메가커피,대형마트,1660,20500,높음,2.3,34.3,0.15,0.19,10,
메가커피,카페051,1600,12900,높음,0.4,1.9,0.03,0.02,3,
메가커피,역전할맥,940,11000,중간,0.0,0.0,0.0,0.0,1,
메가커피,매머드익스프레스,1770,9970,높음,0.0,0.3,0.0,0.01,3,
메가커피,메가커피창업비용,1670,9310,높음,14.9,285.4,0.93,3.35,10,
메가커피,역전할매,510,8460,중간,0.0,0.0,0.0,0.0,1,
메가커피,더밴티,550,7650,중간,0.0,1.7,0.0,0.03,1,
메가커피,크라운맥주,410,7000,낮음,1.0,15.7,0.27,0.38,2,
메가커피,우동집,290,6620,높음,0.1,7.3,0.06,0.13,7,
메가커피,발도스커피,1040,6110,높음,0.4,0.4,0.04,0.01,3,
메가커피,아임일리터,740,5810,낮음,2.9,1.2,0.4,0.03,2,
메가커피,만랩커피,770,5590,중간,0.5,5.0,0.07,0.1,4,
메가커피,메가엠지씨커피,430,3480,높음,0.3,0.3,0.08,0.02,3,
메가커피,50대취업,690,2810,높음,12.0,108.8,1.81,4.16,10,
메가커피,메가커피창업,1030,2730,높음,9.5,46.4,0.99,1.82,10,
메가커피,더치앤빈,600,2310,높음,2.6,6.3,0.42,0.29,9,
메가커피,빽다방베이커리,170,2300,중간,0.0,0.0,0.0,0.0,2,
메가커피,메가커피양도양수,870,1950,높음,8.3,32.0,0.99,1.74,10,
메가커피,정관장매장,240,1750,높음,0.5,12.3,0.23,0.8,10,
메가커피,메가커피가맹점,200,1740,높음,0.4,14.5,0.21,0.83,7,
메가커피,미용실매매,400,1680,높음,31.8,168.0,8.53,10.64,10,
메가커피,베브릿지,320,1660,중간,0.0,0.5,0.0,0.04,4,
메가커피,컴포즈창업비용,220,1560,높음,1.3,52.7,0.65,3.66,10,
메가커피,MNA,540,1420,높음,1.7,6.2,0.32,0.45,10,
메가커피,직거래,240,1360,높음,1.5,7.0,0.59,0.54,10,
메가커피,컴포즈커피창업비용,220,1270,높음,1.4,43.8,0.68,3.72,10,
메가커피,올리브영창업비용,180,1150,높음,0.9,30.3,0.5,2.68,10,
메가커피,베스킨라빈스창업비용,230,1150,높음,1.2,21.6,0.54,2.11,10,
