group,seed_used,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compAvgRank,totalSearch
올리브영,올리브영,올리브영,664700,2122300,,226.1,3049.4,0.04,0.16,2.0,,2787000
올리브영,올영,올영,8810,53300,,5.9,241.6,0.08,0.5,3.0,,62110
쿠팡 화장품,쿠팡,쿠팡,6138200,6094900,,485.0,2566.7,0.05,0.05,1.0,,12233100
쿠팡 화장품,쿠팡,쿠팡이츠,27000,77900,,51.0,446.5,0.21,0.62,8.0,,104900
쿠팡 화장품,쿠팡,쿠팡알바,7150,52600,,113.5,1450.8,1.72,2.96,8.0,,59750
쿠팡 화장품,쿠팡,쿠팡이츠배달파트너,3190,15400,,478.7,439.4,16.43,3.11,2.0,,18590
쿠팡 화장품,쿠팡,쿠팡이츠배달,1030,5660,,13.1,107.8,1.35,2.05,7.0,,6690
쿠팡 화장품,쿠팡,쿠팡배달파트너,490,3080,,22.0,97.1,4.88,3.41,3.0,,3570
쿠팡 화장품,쿠팡,쿠팡배달,570,2490,,13.6,115.0,2.55,5.0,5.0,,3060
쿠팡 화장품,쿠팡,쿠팡배달알바,460,2420,,6.8,103.3,1.63,4.62,9.0,,2880
쿠팡 화장품,쿠팡,쿠팡이츠알바,150,740,,1.7,1.7,1.22,0.25,5.0,,890
쿠팡 화장품,쿠팡,쿠팡라이더,120,500,,25.0,38.0,24.78,9.0,1.0,,620
쿠팡 화장품,쿠팡,쿠팡이츠라이더,100,280,,17.1,50.0,18.82,19.93,1.0,,380
쿠팡 화장품,쿠팡,쿠팡이츠파트너,160,210,,54.9,13.3,34.94,7.18,1.0,,370
쿠팡 화장품,쿠팡,쿠팡이츠배달파트너교육,220,120,,16.2,2.9,8.2,2.61,1.0,,340
피부과,피부과,피부과,35200,561400,,115.2,1005.8,0.36,0.2,10.0,,596600
피부과,피부과,정형외과,32700,470200,,34.7,507.3,0.12,0.12,10.0,,502900
