작성자,댓글,좋아요수,작성일
@10m_economy,"(08:13) 오타가 있습니다. 영상에 2024년 상반기 판관비가 6495라고 아니라 3495 입니다. 이미 영상에서  전년 대비 판관비가 4.7%p 개선됐다고 설명했고 바로 뒤에 어느 부분에서 줄었는지도 설명하고 있습니다. 단순 오타이고 컬리를 폄훼하려는 의도가 전혀 없음을 다들 아시리라 생각합니다. 영상 수정하는 법을 몰라 관련 부분 숫자를 블러 처리 했습니다. 영상에서도 누차 말하고 있지만 개인적으로 컬리 대표가 경영철학이 있는 ceo며, 구영배 대표와는 다른 사람이라고 생각합니다. 그리고 그 능력으로 위기를 헤쳐나가리라 보고 있고요. 오해 없으시길 바랍니다. 그리고 댓글은 지우지 않습니다. 최신순으로 해서 보시면 모든 댓글 다 나옵니다.

(07:30) 내용의 오류가 있습니다. 비상장 기업이라고 해서 모두 정기보고서(사업/분기/반기) 공시 대상에서 제외되는 것은 아니라고 합니다. 주권상장법인 외에도 다른 조건이 만족되면 정기보고서를 공시해야 합니다. 알려주신 분께 감사를 표합니다.",182,2024-10-16T04:34:06Z
@teasky3360,그러고보니 코로나때 의지할 곳이 컬리였는데... 외출도 못할 시기 커피부터 시작해서 각종 먹거리를 담날 배송해주던 고마운 곳. 힘내세요,0,2025-08-24T06:39:59Z
@dkyang4411,업체 운영하시는분들은 아시겠지만 정산주기 늘리는거 진짜 피말립니다... 어휴,0,2025-06-30T10:47:53Z
@user-loee7dk6rrt,중국자본들어가면 홈플러스 꼴남 . 컬리는 중국자본이 먹었음,0,2025-06-24T10:47:30Z
@Aloevera988,중국 자본인데 왜 써야함?,3,2025-06-24T10:17:20Z
@포그해피,"ceo가 여자지?
그럼 정상인거야
정해진 길을 걷는 것일뿐",0,2025-06-24T10:00:44Z
@현재의자유함과부유함,"컬리는 중국자본
쿠팡은 미국자본.
답 나왔죠?",1,2025-06-21T13:55:46Z
@Llllililillllllliiill,중국자본 투자받았데서 앱 삭제함,1,2025-06-19T07:50:34Z
@kyurijung6840,난 컬라에서 이어폰 삿는데 반품한건진 누가쓰던게 옴 ㅎㅎ 너무황당해섶다음부터 안씀 ㅡ 직원이 문젠지 시스템이 문젠지 ㅡ 반송도 귀차나서 그냥쳐박아버리고 컬리안씀,0,2025-06-15T06:27:19Z
@차카게살거라,이 채널도 망하겠군,0,2025-06-15T00:01:32Z
@Mdro-f8c,난 쿠팡 싫어서 컬리 잘쓰는중,0,2025-06-14T15:48:22Z
@superman-v9w2g,쿠팡이 너무 강력해서.,1,2025-06-14T08:59:32Z
@okso4642,컬리의 정체성 회복이 필요함. 비싸도 사고싶어지는 물건이 더 많아져야함.,2,2025-06-13T04:01:46Z
@Planet_LALAL,"컬리 왜 망했는지 아나? 결제 안하면 몇달뒤에 1만원 쿠폰이 날아옴 ㅡㅡ 자주 사는 사람은 쿠폰 안주면서, 한두달 안사면 4만원이상 구매시 1만원할인 쿠폰을 주는데 쿠폰 생길때마다만 사지 쿠폰 없을 때 왜 삼",1,2025-06-08T00:59:19Z
@병약소년구바나나,"컬리 가격이 다른곳에 비해 1.5배ㅡ2.0배정도 비쌈
맛도 2배면 좋은뎅
맛은 1배더라구요",0,2025-06-07T19:36:26Z
@user-ahf3xcv5ej1,한국은 벤쳐나 엔젤들이 너무 설치고 그 사람들이 시장을 끌어가다 보니 스타트업들은 투자를 받아야 회사를 키울슈 있는 그 수준이라 자금줄 막히면 망하는거지머. 내가 청창사 나와서 vc 투자 제안 다 거절하고 이제 300억 매출 나오는데 채무가 0원이다. 한국 이름있는 스타트업들 보면 동네 치킨집 보다 못한 경우도 너무 많다. 특히 몸집 키워 엑싯으로 돈벌려는 수준떨어지는 창업자들도 많아지고 있고. 생태계를 죽이는데 vc 들이 한몫했음.,1,2025-06-06T02:17:24Z
@shuuminaify,컬리 모델이나 바꿔  아님 아예 쓰지 말던가 언제적 이효리야😅,1,2025-06-05T23:25:42Z
@romulus4677,컬리 화이팅~,0,2025-06-03T05:34:50Z
@happytoday469,비싸서 그래. 넘 비싸서 손절,1,2025-06-02T09:02:22Z
@5752380,"컬리 그동안 이용했던 사람들은 다 알거임
초창기 컬리? 미쳤음
가격도 미쳤는데 그거 알면서 시킬만했음
왜냐면 리얼 신선했거든...
새벽에 눈떠서 신선식품을 받는다? 각종 나물들 아침마다 소량으로 무쳐서 일주일먹으면 너무 좋았음
근데 최근에 생연어랑 샐러드 등 시켰는데 와;;;;ㅋㅋㅋ 상자까자마자 홍어냄시가 났음
연어가 다 상해서 온거;;
이게 컬리가 신선식품만하지 괜히 나대서 친환경+뷰티에 집중하다보니까 이따구임
보온박스 제대로 된거 사용도안하고 다 종이면서 연어는 박스 오른쪽에, 얼음팩은 박스 왼쪽에 있으니까 연어가 다 상한거임
배달온지 1시간만에 상자를깠는데 그랬다는건 이전부터 그냥 오랜시간 방치되었다는거임
실제로 배송타임보니까 노답임..
내가 무슨 오지에살면 이해라도함. 서울 한복판인데;;

아무튼 뷰티 이후에 신선쪽 관리를 너무 못함
여기에 더해서 컬리 정기구독자에게 주는 혜택이 거의 전무함
정기구독자 할인쿠폰 -> 상시뿌리는 할인쿠폰이랑 중복적용이 안됨. 근데 할인률은 상시쿠폰이 더 높음 -> 구독쿠폰 다 버리기 일쑤
무료배송 -> 무료배송 컷 개높음. 쿠팡프레시랑 비교됨.. 구독해도 무료배송컷이 만만해지지 않음
구독자 전용상품 -> 확실히 싸긴함 ㄹㅇ. 근데 구매제한 1개ㅋㅋ 그리고 대부분 안사는 식품들 또는 사더라도 가~끔 살까말까한 애들뿐임

결론은 정기구독하던 사람들 다 떠나감....",3,2025-05-31T18:44:11Z
@QuickTrustFunds,기술기반이 아닌 노동력을 착취해서 기업가치가 잠깐 올라갔다가 그 거품이 꺼졌을 뿐,2,2025-05-31T09:33:13Z
@NGP_review,"컬리는 입점사들이 입점을 꺼려하고있어요
재고가 한달안에 다안팔리면 입정사들에게 보관료도 요구하고, 한박스에 3개이상 넣지 못하게하니, 박스비,발송비 상당히 많이 나옵니다 그러니 입점사들은 가격올리거나 퇴점밖에 답이 없습니다",2,2025-05-30T22:44:32Z
@ellalee9642,초창기에 식품만 주력했을때는 넘사벽이라 이용했었는데 지금은 흔한제품 기성제품 가격도 쿠팡이 더싸서 사실 잘 이용안함 쿠팡로켓프레쉬는 밤12시이전까지 다음날 새벽배송이라 더 편함..,0,2025-05-29T01:08:26Z
@blrusian,컬리의 몰락을 말하겠다면서 그 대표의 학력과 그 학교 출신이 누군지까지 알아야 하나요? 하하하하. 채널 차단할께요.,0,2025-05-25T23:22:53Z
@김재윤-s6t7l,10년을 채 못가네요.요즘 신생기업들의 수명이 그렇죠,0,2025-05-20T04:18:01Z
@Leo-ct5hc,"새벽배송을 위해 아파트 공동출입문 출입 비밀번호를 저장해 두어도  문앞 배송은 커녕 공동현관 앞에 두고 배달완료 했다고 알림  보낼꺼면 현관 공동출입번호 등록은 왜 하라는거임.

이후로도 동일하게 배송해서 가입해지 하고 쿠팡으로만 주문하게됨.

두 번 주문해보고 이  회사  오래 못갈것 같다고 생각했었는데 아니나 다를까 이런 사정도 있었네요",0,2025-05-13T08:08:42Z
@siam-m3z,"컬리는 알바하는 사람들 정말 힘들게합니다
사실 정신적으로 육체적으로 더힘든곳이컬리고
쿠팡은 몸만힘들지요
계약직들이 알바를 갑질하는컬리
결국은 이익을 인건비에서
건졌다는것은
열명이할일을 한사람이했다고 보면됩니다
얼음 한개넣어야할곳에
두개넣었다가 걸리면
사실확인서 작성해야합니다",0,2025-05-13T02:08:37Z
@user-hz7ec1fh3y,한국 인구가 작은데,0,2025-05-12T22:55:05Z
@김기환-o5p2n,으막 끄라!!!,0,2025-05-12T10:30:40Z
@jhope8755,컬리 비싸기만함,0,2025-05-12T07:04:45Z
@김재윤-s6t7l,식품만을 대상으로한 e유통은 분명한 한계가 있게 마련.스펙트럼을 공산품으로도 확대했어야,0,2025-05-08T06:29:24Z
