작성자,댓글,좋아요수,작성일
@_foodie_jen,"직장인 초간단 도시락




회사 출근해야 할때마다
자주 해가는 주먹밥메뉴랍니더!

어떻게보면 스팸무수비의
간편버전 같아요!

아는맛이 더무서운법…


재료(1인분기준)👉🏻
햇반1개 큰거
스팸2조각 (간장1, 설탕1 조려주기)
계란2개
후리카케
참기름
조미김",593,2025-04-04T13:01:27Z
@커피나무-k9c,진짜 존매다,0,2025-09-21T08:12:21Z
@MS-bi4jc,"와대박
촬영은 어떨게 하셨어욛 ㄷㄷ 계속 모서리마다 켜두시는건가",0,2025-09-07T14:20:25Z
@박윤미-i9r,"이거슨 우린 소풍 도시락이라고 해요~
과자까지 야무져~~
글로벌 아는맛~❤",0,2025-09-07T12:28:17Z
@최진숙-q3i,아씨 안되겠어..구독,0,2025-09-06T12:00:18Z
@sarahkang8037,털털한거 같지만 세상꼼꼼하고 제일 계획적인 분 ㅋㅋㅋㅋㅋ,0,2025-09-06T05:38:31Z
@leerakyum687,한숨소리 ㅠㅠ,0,2025-09-06T05:21:53Z
@히포-z1q,먼가 대충이 컨셉인데 렌지에 카메라 넣고 음식 넣는씬 찍고 다시 카메라 빼고 돌린다음에 카메라 넣고 렌지에서 음식빼는 거 생각하니깐 집중안됨,0,2025-09-04T16:25:47Z
@hs-op7th가인,❤❤❤❤❤가장솔직한 음식레시피 !!!! 구독 좋아요! 🎉🎉🎉🎉 이런게 진짜. ㅎㅎ,0,2025-09-02T03:56:29Z
@노네임-j4q,쪼끔 짤것 같어서😂.스팸이 짠데 간장을넣 으니~~근데 손이 엄청 빠르네여😮일머리가 울트라급^^,0,2025-09-01T18:22:44Z
@bahmtol,왔어요 그시간이(찐이네요) ㅎ,0,2025-08-30T13:22:19Z
@박성우-g7w,???:왜 쓰레기봉투를 들고 계세요?,0,2025-08-30T12:51:17Z
@박지영-h2u1t,스팸짠데,0,2025-08-28T07:43:50Z
@미숙김-s6i,재미있네요  ㅎ ㅎ,0,2025-08-28T06:19:20Z
@고구미-o4d,진짜 대충사시네요.... 본받겠습니다 ㅋㅋㅋㅋ 저렇게 살고싶어도 잘 안되는 예민러 ㅋㅋㅋㅋㅋㅋ 저래야 요리도 뚝딱뚝딱 잘해먹고 그런데 이것저것 따지느라 요리 할 생각하면 어느정도 맘먹어야함 ㅠㅠㅠㅠㅠ 근데 또 소분해놓은 거 보면 부지런함까지 있음.....,0,2025-08-28T03:00:07Z
@yeaeun-s2j,"아니진짜 신기하네.. 대체어떻게 출근하면서 도시락싸는것도 바빠서못하는데 유튜브는 또어떻게
찍는거고 카메라 각도도 다르게 찍으셨네..ㄹㅇ 멀티 개잘하시네",1,2025-08-27T06:52:00Z
@yunnstar,아 단무지도 넣고 싶다..,0,2025-08-26T15:21:54Z
@1-ml7le,차 운전할때 나의 자세와 표정이네... 보고 따라하는줄~ㅎㅎ,0,2025-08-26T15:21:01Z
@son74075,김치가 먹고싶어지는 영상 😂,0,2025-08-26T15:03:50Z
@콩심은데콩난다-h1v,스팸이 왜 남지..,0,2025-08-26T14:16:53Z
@곤-k8f,진짜 맛잘알 사랑해여,0,2025-08-26T04:38:52Z
@순돌26,"나도 배웠다~~~♡
점심 한 끼  이렇게 해결하면 되겠네
사먹으러 갈 시간 애매할 때 종종 써먹어야징",0,2025-08-25T14:46:02Z
@yjs9471,말투가 왜그런거에요? 일부러 기분나쁜말투로 하는거시는건가요,0,2025-08-24T09:36:31Z
@쭈-r2z,아우 말투좀 바꿔줘요,1,2025-08-24T08:05:42Z
@susemi53,털털함이 사랑스러워❤,0,2025-08-22T08:05:42Z
@강은진-g6g,근데 회사에서 밥 안먹는 이유가 뭔가요? 식당이 없거나 나트륨?,0,2025-08-22T02:28:20Z
@하늘사랑-j9s,언니 의자에 옷걸려있는것. 현실고증짱!울집도 그래요😄,0,2025-08-21T21:49:15Z
@열폭꿍-b2f,겁나 짤 것 같은데… 안 짜요??,0,2025-08-19T03:00:56Z
@하루-l7u,고래밥..ㅋㅋ 미쿡맞아요???,0,2025-08-18T10:05:00Z
@과다감성아재,햄 싸고있는 종이 뭔가요,0,2025-08-17T07:14:10Z
@현미-h5e,난 그냥 이처자 너무 멋져서 직장도 없는데 이도시락싸서 공원가서 먹을생각에 행복,1,2025-08-16T22:39:42Z
@aenirydda5546,개그맨 박준형 와이프 김지혜님 닮으셨어요~,0,2025-08-16T15:27:26Z
@liina9661,껌좀 씹던 언니발성,0,2025-08-16T09:45:07Z
