작성자,댓글,좋아요수,작성일
@신제나-y3t,컬리 매주 시킴요. 오래오래 함께 하길 ^^,0,2025-09-21T15:32:23Z
@Djrjxus,나도 쿠팡에서 갈아탄다,1,2025-09-21T11:11:17Z
@moonblue1818,컬리 납품하는 업체들 조심해라. 위메프.티몬 처럼 사라지면 돈 못받는다.,1,2025-09-20T20:23:20Z
@eternity2442,고기사먹어보니 별로라서 다시쿠팡으로삼 컬리는 허풍이 쎈듯 뭐가 좋다는건지 비싸면 비싼메리트가 있어야지,0,2025-09-20T16:48:43Z
@youth9918,컬리만의 제품이 있어서 자주 사용해요 다들 더 활용해주길 ㅠㅠ 컬리 화이팅!!!,0,2025-09-20T15:08:02Z
@이태준-m2y,엑시트 시기놓쳤지뭐,0,2025-09-20T13:08:44Z
@장정화-m4f,쿠팡❤❤❤❤,0,2025-09-20T11:47:08Z
@염인선-h9o,MBA과정에 컬리사례가 추가될듯.과목내용으로😊,0,2025-09-18T20:44:12Z
@chan-g1y,포장이 고퀄이면 머하나?  적자인데!!계속 적자가 나면 포장부터 바꿨어야했다 거기서부터 비용을  줄여야 했다 쿠팡보면 모르겠나?  싸구려 비닐로갖다놔도 주문하는 사람은 계속 늘어나는중이다,0,2025-09-18T04:02:37Z
@이정동-r9h,컬리는 너무 비쌈,0,2025-09-16T14:01:39Z
@Allwehafw-q6c,원인은 하나지 비쌈 쿠팡보다,1,2025-09-16T09:24:50Z
@par-w6o,"대표가 무능한것도 아니고 나름 똑똑하고 철학과 소신이 있는 사람인듯 한데
시장환경이 녹록치 않아서 기업이 힘들어 진것 같아 안타깝네요
부디 잘되었으면 하네요",0,2025-09-16T04:55:48Z
@yooyoungjin7571,비약이 심하네.. 롯캣배송 이전과 이후겠지,0,2025-09-16T00:24:18Z
@훈남-e8f,미국키업이정복쿠파이다잡아먹는다믹ᆢ기업미국키업남조선에서천수시커라철수,0,2025-09-15T17:47:56Z
@일랑-t1e,"중국자본이 잠식한 컬리ㅜㅜ
좋아했는데...",0,2025-09-15T11:00:25Z
@현모양아치-c3n,"이제 컬리로 갈아타야겠어요
컬리만의 상품들 놓치지 않으려면",0,2025-09-14T09:18:39Z
@김폴-y8y,"전체적으로 
가격을 올리더라도 살아 남기를 바랍니다.
다른 플랫폼 보다는 컬리가 최고입니다.
난 그래도 이용할게요",0,2025-09-14T09:04:52Z
@제이비-n3w,진작팔지,0,2025-09-14T00:57:16Z
@koareangang11,주제모르고 깝쳣음,0,2025-09-12T23:26:52Z
@kjoooyoung,중간에 ipo준비한다고 품질관리제대로 안하는게 느껴져서 그뒤로 안씀,0,2025-09-11T19:00:53Z
