작성자,댓글,좋아요수,작성일
@JEYU,"❤️트루알엑스 리치콜라겐 구매 링크❤️
(마켓 아님! 판매 수익과 관계 없음!)
http://bit.ly/3iyQJRQ
0:00오프닝
0:42첫번째
2:23두번째
4:24세번째
8:48네번째
10:49다섯번째
12:26여섯번째",341,2023-01-16T12:10:54Z
@김규민-y1f,안그래도 요즘 파이테론 먹으면서 콜라겐 섭취 열심히 하고 있었는뎁~ 콜라겐 먹으니까 확실히 피부 질이 달라지긴 하더라고요 리치콜라겐도 한번 먹어봐야겠어요 ><~,18,2024-07-10T05:28:21Z
@nnancy5767,콜라겐 한번 먹기 시작하면 평생 먹어야되는건가요?,0,2024-04-29T07:54:10Z
@조은미-z8t,"왜 제가 어릴땐 이 영상이 없었을까요, 늦엇지만 이제라도 관리하려고 번개괄사를 샀어요. 늦은만큼 열심히, 꾸준하게 관리해야겠습니다.",0,2023-07-28T14:24:37Z
@주영2-y5r,저도 과거엔49kg 집착했는데 이제는53kg가 적당하더라구요 참고162센치 입니다!!!,0,2023-04-17T23:51:08Z
@ansebin1004,자기관리 진짜 못하는 여자가 접니다... 경제적인 문제가 좀 있지만! 빨리 한시라도 저렴하게 시작할 수 있는 알찬자기관리 콘텐츠 감사합니다...  !!!!,1,2023-03-09T12:36:53Z
@박수만-g8o,"추천제품 전부 구매완...❤❤ 저는 괄사도구보다 괄사기기가 좋아서 샀어요,, 한해가 지나갈수록 기능있는게 더 좋더라는,..ㅋㅋㅋ",35,2023-02-19T04:18:55Z
@Im_so_sogon,"콜라겐쪽 논문이 없다하시는 분들이 많으신데 의외로 피부관련 건기식중에서 가장 많은 연구가 진행된 성분이 콜라겐입니다. 물론 대다수가 기업논문이라 편파성이 아얘 없다고는 할 수 없겠지만, 이건 건기식이라는 카테고리인 이상 어쩔수 없는것 같아요. 암튼, 많은 과학문헌들이 ""저분자"" 원료일 경우 효과가 있다고 말하고 있습니다. 고분자는 흡수율이 극악이라..

다만, 개인적인 의견을 덧붙치자면 1순위가 되야할 것은 식사를 ""잘"" 하는것입니다. 좋은 식사에 돈을 투자하는 것을 1순위로 하고(사실 이건 돈 문제보다는 정성이긴 해요...집밥하기 귀찮아 읍읍) 여윳돈이 있으면 콜라겐에 투자하는 것은 괜찮은 선택이라고 생각합니다. 그리고 재유님같은 대형 유튜버가 진행하는 마켓이면 보다 합리적인 가격에 제품을 만날 수 있으니 좋은 기회이고요.

결론) 집밥 잘 먹고 돈있으면 사자

+ 소신발언 하자면 술담배 돈으로 건기식 사는게 남는거라고 생각합니다. 이상한곳에 돈버리면서 이런거에 돈쓰는거 낭비라고 하는건 좀 웃기더라고요ㅎㅎ",3,2023-02-16T08:57:10Z
@nayam1,여드름흉터~이게 흑자로 남았어요. 피부과가서 레이저했는데도 안없어져요. 어떻게 하면 좋을까요?,0,2023-02-03T02:14:39Z
@dbq000,근데 이상하게 콜라겐은 ㄹㅇ암거나 주워먹어두 왠지 머리결이나 피부가 좀 좋아짐ㅋㅋㅋ 아니라고 해도 그냥 싼 거라도 드셔보세요 님들,2,2023-01-31T14:57:03Z
@helena2696,1. 두피관리,0,2023-01-27T14:04:17Z
@양현지-z8e,재유님 영상 처음보는데..음..이거 완전 콜라겐 광고같아요;;;,0,2023-01-25T05:03:14Z
@waving-,"피부관리는 진짜 꼭꼭하세요 ㅠㅠ
나이 먹을수록 재생도 느려지고 피부가 은근 인상에 많이 차지 합니다 ㅠㅠ",1,2023-01-24T04:22:38Z
@박솔향-o8n,사실 헤어시술이나 렌즈를 끼지 않고 자연과 가까운 음식을 먹으면 피부도 건강해지고 두피도 건강하고. 건강이 최고의 아름다움 ((근데 속세에 사는 우리들에겐 이것이 참 어렵습니다)),4,2023-01-23T11:17:47Z
@user-ly5ir5ry5e,"두피케어
여드름 흉터관리
이너뷰티ㅡ콜라겐먹기
선크림필수
괄사,림프,얼굴형 마사지
안구관리",9,2023-01-22T11:18:21Z
@곽제시카,언니 추천 제품은 믿고 사는 재롱이에요 🥺 이걸로 콜라겐도 일찍 시작해보고 싶은데 제가 올해 스물셋이라 이십대 초반이고 학생이라 수입이 없는 상태라 한달에 오만원씩 콜라겐에 투자하기가 부담이 되네요 ㅠㅠ 부담되지만 일찍 투자해보는게 현명할까요..? 언니 오늘도 알찬 영상 잘봤습니다아❤,4,2023-01-22T08:13:23Z
@soso-zm1tz,모두 광고제품인가용?,0,2023-01-21T16:04:00Z
@study._with._me,"여드름 흉터 약 두개 추천해주신 거 중에서요~! 흉터같은 느낌일 때 센텔라스카 연고 추천해주셨는데용! 이 흉터같은 느낌이 ""파인 흉터""를 말하는 걸까용~? 두 약의 쓰임새 차이가 궁금해용!",0,2023-01-21T13:19:57Z
@Sdhhth,먹는 콜라겐 … 아무짝 소용 없떠용… ㅜㅜ  써마지 받고 콜라겐 6개월 먹어주는 게 좋지 .. 써마지 안받고 콜라겐 먹어도 소용없어요,6,2023-01-21T12:30:40Z
@유야유-n6l,"언니이 🥰 유익한 영상 감사해용!
언니 말대로 하나부터 여섯까지 실천해 보려구욥!!",0,2023-01-21T10:57:33Z
@You_Too_Ver,재유님혹시 머리 매직 하신건가요>>! 저런 머리 너무 하고싶은데 삼각김밥처럼 되어서 ㅜㅜ,1,2023-01-21T10:51:22Z
@seongeunk7843,감사합니다♥️,0,2023-01-21T01:30:36Z
@ntt6630,온니 가디건 정보 알려주세요 ㅠㅠ,0,2023-01-20T20:09:36Z
@혜린-z4t,선크림은 파운데이션 바르기 전에 바르면 될까용?,0,2023-01-20T17:11:34Z
@kimgaruis,지금까지 재유언니라구 생각했는데 나랑 동갑이었어…? 나 자신 뭐하고 살았냨ㅋㅋㅋㅋ,0,2023-01-20T17:05:35Z
@Nagne5,오늘 스타일링 아주그냥 찢었네,1,2023-01-20T15:16:16Z
@bbmg3650,괄사 잘못하면 여드름 솟아서 무서워서 외곽 못건들겠음ㅜ,2,2023-01-20T14:00:17Z
