keyword,review,sentiment
관리,"처음엔 그냥 식단 기록 앱인 줄 알았는데 써보니 완전 달라요. 식단을 매일 편하게 기록할 수 있다 보니 쓰다보니 3kg 감량했네요 루션 덕분에 하루를 건강하게 마무리하는 습관이 생겼어요. 보상도 있어서 꾸준히 하게 되고, 결과도 눈에 보여요. 다이어트 앱이라기보다 나를 관리해주는 매니저 같아요. 요즘 제 하루는 루션으로 시작해서 루션으로 끝나요! 감사해요 ~",positive
관리,"아직 나온지 얼마 되지 않아 식품정보가 떨어진다는건 알지만... 그래도 더 많이 넣어주셨으면 합니다ㅠㅠㅠ 그리고 다들 식단관리 목적, 다이어트 목적으로 많이 이용하실텐데 목표 칼로리를 조정할 수 있는 기능은 없더군요... 제시해주는 칼로리보다 낮게 책정하고 싶은데... 따로 조정 기능이 생기면 좋을 것 같습니다! 그리고 요즘 당함량에 다들 민감한만큼 당함량도 체크할 수 있는 기능이 있다면 좋을 것 같아요! 이런것들 외엔 깔끔하고 직관적이라 좋은 앱인 것 같네요ㅎ",positive
관리,"페이코로 할인 끌어모아서 매번 사머금  영양 알아서 세팅되어있어서 식단 관리도 간편,,,👍 챌린지 식단이 제일 맛있고 일반 냉동으로 오는 건 막입이 먹어도 충격적으로 맛없는 확률이 너무 높아서 ㅂㄹ",neutral
관리,탈옥한 적도 없는데 탈옥폰이라면서 켜지지도 않네.. 앱 관리는 전혀 안 하나 봐요.,neutral
관리,진짜 사용하고 싶어도 앱 자체가 실행도 잘 안되고 하루이틀도 아니고 제발 앱관리좀 하세요. 오류 너무 자주발생되고 앱 접속 시작 자체가 안되요,negative
관리,깔끔하고 집에서힘든관리 편합니다 신장식이 메뉴가많이 늘어나서 더욱좋습니다 좋은음식 항상 부탁드려요~,positive
관리,맛있고 포장 깔끔하고 좋아요 그냥 단순히 전자렌지에 돌려 먹게끔 되있는것도 많고 렌지에 돌려도 냄새안나고 맛있어요 간이 잘 되어있고 식단관리할때 이용하기도 좋습니다,positive
관리,물건은 좋으나~ 앱 속도가 이래서야 할인할 때 쓱 쓰고 버려지는 앱이 될 뿐입니다. 어떻게 기다려가며 주문했더니 집 주변 대형마트 갔다올 시간 걸리네요 ㅋㅋ 리뷰가 안 좋으나 5점인 걸 보면 뭔가 장난질을 하시나본데...뭘 개선해놓고 리뷰관리도 하셔야지 안 좋은 상태에서 고객부터 받고 나중에 앱 개선하면 이미 등 돌린 소비자는 놓치시는겁니다~,neutral
관리,"앱퀄리티가 떨어짐. 자동로그인이 계속풀리고 재로그인을해야함. 네이버 등 간편가입으로 회원가입했을경우 hpoint연동안됌 (그리팅 비밀번호를 물어봄), 로딩시간이 너-무느림, 건강밥상탭과 식단관리탭 연동안됌(각각 검색 따로해야함) 정말ㅊ엄청난어플",neutral
관리,어플 관리업체를 바꾸던가 서버증설을 하던가 해야할듯 반응속도가 너무 느려서 중국산어플인줄 속도가 너무 느려 놀랐네요 장바구니 상품넣다가 몇번 지울뻔했네요,neutral
